filename,image_type,sizetext,stains,price,smell,price_confidence,condition,usage_confidence,comment,holes,colors,usage,type,damage,styleholes,brand,season_all_seasons,season_autumn,season_spring,season_winter,category_female,category_unisex
front_2023_09_13_05_18_15.png,0,0,1,27,2,3.0,2,3.0,0,0,3,1,14,0,0,1,1,0,0,0,1,0
front_2023_11_06_07_07_20.png,0,0,2,32,2,3.0,3,3.0,0,0,1,4,20,0,1,1,1,0,0,0,0,0
front_2023_06_29_13_15_53.png,0,0,1,21,2,3.0,3,1.0,0,0,2,1,14,0,0,1,1,0,0,0,0,0
back_2023_12_27_12_24_34.png,1,0,1,35,2,3.0,2,3.0,1,0,3,1,7,1,0,1,1,0,0,0,0,0
front_2023_12_21_12_28_39.png,0,0,1,67,2,3.0,5,3.0,1,0,1,5,20,0,0,0,1,0,0,0,0,0
back_2023_09_06_09_32_01.png,1,0,1,73,2,3.0,5,3.0,0,0,1,5,0,0,0,1,1,0,0,0,1,0
front_2024_01_15_09_51_22.png,0,0,1,32,2,3.0,5,3.0,0,0,1,5,3,0,0,1,1,0,0,0,1,0
back_2023_07_28_06_23_34.png,1,0,0,45,2,3.0,3,3.0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
back_2023_11_15_12_14_29.png,1,0,2,24,2,3.0,3,3.0,0,0,1,4,11,1,0,1,0,0,0,0,0,0
front_2023_07_11_13_27_10.png,0,0,1,22,2,3.0,3,2.0,0,2,1,4,14,0,0,1,1,0,0,0,1,0
front_2024_01_31_09_26_50.png,0,0,1,16,2,3.0,3,3.0,0,0,2,4,14,0,0,1,1,0,0,0,0,0
back_2024_04_04_07_36_25.png,1,0,0,39,2,3.0,3,3.0,0,1,1,4,7,1,1,1,1,0,0,0,1,0
back_2023_09_12_05_38_46.png,1,0,2,33,2,3.0,3,3.0,0,0,1,4,1,0,0,1,0,0,1,0,0,0
back_2023_11_20_10_12_21.png,1,0,1,32,2,3.0,2,3.0,1,0,4,4,3,0,0,1,1,0,0,0,1,0
